modelo,n,tiempo_seg
OLS,1000,0.002833000005921349
Ridge,1000,0.001998399995500222
K-Means,1000,0.0068478000175673515
Random Forest,1000,0.12481460001436062
Gradient Boosting,1000,0.21108330000424758
OLS,5000,0.002415299997664988
Ridge,5000,0.0015098000003490597
K-Means,5000,0.013788499985821545
Random Forest,5000,0.18753450000076555
Gradient Boosting,5000,0.9726498000090942
OLS,20000,0.006158799980767071
Ridge,20000,0.004039099992951378
K-Means,20000,0.03196990001015365
Random Forest,20000,0.5688096999947447
Gradient Boosting,20000,4.308562099991832
OLS,50000,0.01017719999072142
Ridge,50000,0.007048500003293157
K-Means,50000,0.06548839999595657
Random Forest,50000,1.3875671999994665
Gradient Boosting,50000,11.351320499990834
OLS,100000,0.02388039999641478
Ridge,100000,0.012440099992090836
K-Means,100000,0.1406047999917064
Random Forest,100000,3.4027487999992445
Gradient Boosting,100000,23.744475700019393
