feature,importance,cumsum
capacity_gb,0.4676849903807188,46.76849903807188
speed_mhz,0.1628112385455234,63.04962289262422
cas_latency,0.11809397556887209,74.85902044951143
ddr_group_DDR_legacy,0.11292318273454023,86.15133872296546
num_sticks,0.07262645268844432,93.4139839918099
brand_normalized_Other,0.030043340345225347,96.41831802633244
brand_normalized_G.SKILL,0.013447947698000937,97.76311279613253
has_rgb,0.00818840309726607,98.58195310585914
brand_normalized_Kingston,0.005935814613575762,99.17553456721672
brand_normalized_Team,0.004338472780767038,99.60938184529343
brand_normalized_Crucial,0.0039061815470659653,100.00000000000003
cas_was_imputed,0.0,100.00000000000003
